Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Tapp Forums,https://www.crunchbase.com/organization/tapp-forums,,"Washington, District of Columbia, United States","Platform for brands to simultaneously inform, reward, and engage their customer base.","49,214",7/29/13,,7/29/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Traffio,https://www.crunchbase.com/organization/traffio,"Gaming, Sales and Marketing, Advertising","San Francisco, California, United States",Traffio creates a gamified advertising platform to deliver real-time conversions through interactive game-based engagement.,"40,404",3/1/12,,7/31/13,3,"$300,000 ",Seed,"$300,000 ","$700,000 ","$700,000 "
Appetas,https://www.crunchbase.com/organization/appetas,"Information Technology, Food and Beverage, Privacy and Security","Seattle, Washington, United States","Appetas offers a restaurant marketing platform that enables restaurants to easily create web, mobile, and social sites.","40,484",7/2/12,,7/31/13,3,"$50,000 ",Seed,"$50,000 ","$120,000 ","$120,000 "
HALGI,https://www.crunchbase.com/organization/halgi,"Media and Entertainment, Internet Services","Brandon, Florida, United States","Halgi is a user generated social network and a one-stop shop for entertainment, communication, and information sharing.","54,289",4/9/13,,7/31/13,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Lettuce,https://www.crunchbase.com/organization/lettuce,"Commerce and Shopping, Information Technology, Software, Sales and Marketing","Venice, California, United States","Lettuce is an inventory and order management system that enables SMBs to capture, track, and process orders from multiple sales channels.","11,615",1/1/12,,8/1/13,2,"$1,000,000 ",Seed,"$1,000,000 ","$3,100,000 ","$3,100,000 "
Happy Studio,https://www.crunchbase.com/organization/happy-studio,"Gaming, Internet Services","United States, North America","Happy Studio is an online world created by McDonald's to provide kids with games, experiences, and activities that encourage family time.","30,692",1/1/12,,8/1/13,1,"$1,950,000 ",Seed,"$1,950,000 ","$1,950,000 ","$1,950,000 "
YouFolio,https://www.crunchbase.com/organization/youfolio,"Professional Services, Education, Internet Services","Washington, District of Columbia, United States","YouFolio is the online portfolio for students and individuals to showcase a lifetime of work, experience, and achievement.","35,534",2/1/12,,8/1/13,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
DooBop,https://www.crunchbase.com/organization/doobop,"Commerce and Shopping, Consumer Goods","New York, New York, United States","DooBop offers a curated e-shopping experience with personalized beauty education for skincare, haircare, make-up, and nails.","37,177",3/1/13,,8/1/13,1,"$1,300,000 ",Seed,"$1,300,000 ","$1,300,000 ","$1,300,000 "
IntroNet,https://www.crunchbase.com/organization/intronet,"Media and Entertainment, Information Technology, Community and Lifestyle, Software, Sales and Marketing, Professional Services, Internet Services","Albany, New York, United States","Make Introductions, Easy and Powerful","41,364",8/1/13,,8/1/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Toplist,https://www.crunchbase.com/organization/toplist,"Platforms, Apps, Commerce and Shopping, Media and Entertainment, Software, Internet Services, Mobile","New York, New York, United States",Toplist provides an online social shopping recommendation platform for users to shop and get recommendations from friends.,"41,643",8/1/13,,8/1/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
StarBlock.com,https://www.crunchbase.com/organization/starblock-com,"Financial Services, Lending and Investments","Waconia, Minnesota, United States","StarBlock.com provides an entrepreneurial platform for crowdranking, model validation, and sourcing capital relationships.","41,942",6/1/12,,8/1/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Medstro,https://www.crunchbase.com/organization/medstro,"Media and Entertainment, Health Care, Internet Services","Boston, Massachusetts, United States",Medstro is the social network exclusively for physicians and medical students.,"45,275",7/1/13,,8/1/13,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Page2Images,https://www.crunchbase.com/organization/page2images,Software,"Pasadena, California, United States","Page2Images offers a fast, stable API that allows users to convert URLs to images automatically.","49,420",9/1/13,,8/1/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Cyber Gifts,https://www.crunchbase.com/organization/cyber-gifts,"Commerce and Shopping, Financial Services","Wilmington, Delaware, United States",Cyber -Gifts is a marketplace platform for sharing gift electronically.,"53,268",7/15/13,,8/1/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
The Hitch,https://www.crunchbase.com/organization/the-hitch,"Travel and Tourism, Media and Entertainment, Data and Analytics, Events, Community and Lifestyle, Content and Publishing","Brooklyn, New York, United States",The Hitch is a marketplace for discovering and booking wedding venues.,"54,434",1/1/13,,8/1/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Availendar,https://www.crunchbase.com/organization/availendar,,"New York, New York, United States",Sync and share availability - anywhere.,"54,728",9/1/13,,8/1/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
BizPulse,https://www.crunchbase.com/organization/bizpulse,"Information Technology, Data and Analytics, Software, Sales and Marketing, Design","Washington, District of Columbia, United States","BizPulse is a customer relationship management system that helps organizations manage customer expectations, increase cash flow, and more.","55,169",11/1/13,12/31/15,8/1/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
itsDapper,https://www.crunchbase.com/organization/itsdapper,"Software, Internet Services","Cambridge, Massachusetts, United States",DapperJobs is an online portal that brings together potential jobseekers and employers.,"58,470",3/1/13,,8/1/13,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Assistance.net Inc,https://www.crunchbase.com/organization/assistance-net-inc,Professional Services,"Arlington, Virginia, United States",Assistance.net offers a comprehensive market website for entrepreneurs and independent professionals.,"62,324",1/1/13,,8/1/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Retora Black,https://www.crunchbase.com/organization/retora-black,Mobile,"Phoenix, Arizona, United States",Retora Black is the internal mobile division of Retora Games.,"62,587",1/1/13,,8/1/13,1,"â‚¬15,000",Seed,"â‚¬15,000","$19,889 ","$19,889 "
DidLog,https://www.crunchbase.com/organization/didlog,Software,"Cleveland, Ohio, United States",Didlog is a task management and accomplishment tracking tool that enables users to automatically share activities they have completed.,"62,766",8/1/13,,8/1/13,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
SurgeryEdu,https://www.crunchbase.com/organization/surgeryedu,"Hardware, Software, Health Care, Mobile","Ann Arbor, Michigan, United States",SurgeryEdu offers 3D interactive iPad apps that help patients better understand their surgical procedures.,"64,229",4/1/13,,8/1/13,1,"$5,000 ",Seed,"$5,000 ","$5,000 ","$5,000 "
Scriptick,https://www.crunchbase.com/organization/scriptick,"Media and Entertainment, Community and Lifestyle, Sales and Marketing, Internet Services","Norwood, Massachusetts, United States",pivoted,"44,903",5/8/13,,8/2/13,1,"$538,000 ",Seed,"$538,000 ","$538,000 ","$538,000 "
LegalReach,https://www.crunchbase.com/organization/legalreach,Professional Services,"San Francisco, California, United States",LegalReach is a network for attorneys to connect with each other and increase referrals.,"35,350",1/1/12,,8/5/13,1,"$900,000 ",Seed,"$900,000 ","$900,000 ","$900,000 "
Fosbury,https://www.crunchbase.com/organization/fosbury,"Platforms, Hardware, Commerce and Shopping, Consumer Electronics, Software, Financial Services, Mobile","New York, New York, United States",Drive store traffic with Mobile Wallet marketing,"36,371",12/1/12,,8/5/13,1,"$350,000 ",Seed,"$350,000 ","$350,000 ","$350,000 "
LoveThatFit,https://www.crunchbase.com/organization/lovethatfit,Commerce and Shopping,"Charlottesville, Virginia, United States",Virtual Social Fashion Fitting App & Platform.,"38,704",1/1/12,,8/5/13,3,"$67,000 ",Seed,"$67,000 ","$1,050,000 ","$1,050,000 "
SquareOne Mail,https://www.crunchbase.com/organization/squareone-mail,"Platforms, Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",SquareOne Mail is an email service assistant that builds a mobile application for presorting users' emails into a dashboard.,"46,911",1/1/12,,8/5/13,2,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
flck.me,https://www.crunchbase.com/organization/flck-me,"Financial Services, Mobile","Seattle, Washington, United States",flck.me is a smartphone application that with features of both mobile messaging and social networking.,"53,719",1/1/13,,8/5/13,1,"$118,000 ",Seed,"$118,000 ","$118,000 ","$118,000 "
RENTISH,https://www.crunchbase.com/organization/rentish,Real Estate,"New York, New York, United States",Renting is a rent listing site helping individuals find residential properties for rent through a free online search tool.,"62,606",6/20/13,,8/5/13,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
ChatLingual,https://www.crunchbase.com/organization/chatlingual,Software,"Boulder, Colorado, United States",Communicate in every language instantly through chat,"97,338",4/1/13,,8/5/13,1,"â‚¬15,000",Seed,"â‚¬15,000","$19,913 ","$19,913 "
Sensor Tower,https://www.crunchbase.com/organization/sensor-tower,"Platforms, Software, Mobile, Advertising","San Francisco, California, United States",Sensor Tower equips publishers and marketers with the data and insights needed to master the mobile app ecosystem.,"7,378",1/1/13,,8/6/13,2,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
ProtoExchange,https://www.crunchbase.com/organization/protoexchange,Hardware,"Austin, Texas, United States",ProtoExchange is an outsourcing marketplace for hardware development,"44,304",10/12/12,3/30/15,8/6/13,2,"$118,000 ",Seed,"$118,000 ","$118,000 ","$133,000 "
Moodswiing,https://www.crunchbase.com/organization/moodswiing,"Media and Entertainment, Internet Services","Tulsa, Oklahoma, United States",Moodswiing is a social network providing real-time metrics that allow users to see how others feel about the topics that interest them.,"60,792",1/1/12,,8/6/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Carmenta Bioscience,https://www.crunchbase.com/organization/carmenta-bioscience,"Biotechnology, Science and Engineering","Palo Alto, California, United States",Carmenta Bioscience is aÂ technology company focused onÂ improving maternal and fetal health.,"30,136",4/9/12,,8/7/13,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Poliana,https://www.crunchbase.com/organization/poliana,"Data and Analytics, Government and Military","Nashville, Tennessee, United States",Poliana is a web application that simplies the legislative system by analyzing and visualizing money's inuence in politics.,"52,266",1/1/13,1/1/15,8/7/13,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
dVisit,https://www.crunchbase.com/organization/dvisit,Health Care,"Nashville, Tennessee, United States",dvVisit is a healthcare-based mobile and web application that strengthen the connection between patient to doctor communication.,"59,693",1/1/13,10/9/15,8/7/13,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Rocket Raise,https://www.crunchbase.com/organization/rocket-raise,"Sales and Marketing, Internet Services, Messaging and Telecommunications, Advertising","Collegedale, Tennessee, United States","Rocket Raise is a new messaging app that lets people support the causes they care about while they text, with the help of a consumer brand.","62,064",8/1/13,,8/7/13,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Acera Surgical,https://www.crunchbase.com/organization/acera-surgical,"Science and Engineering, Health Care","St Louis, Missouri, United States",Develop a portfolio of fully synthetic surgical materials that act as nano-scale scaffold for tissue regeneration.,"26,601",1/1/13,,8/8/13,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
SportyBird,https://www.crunchbase.com/organization/sportybird,"Media and Entertainment, Data and Analytics, Sports, Internet Services","San Antonio, Texas, United States","SportyBird, free game statistics software for soccer, provides live game updates and engaging opportunities for teams, coaches and fans.","53,346",9/30/12,,8/8/13,2,"$70,000 ",Seed,"$70,000 ","$95,000 ","$95,000 "
Pansieve,https://www.crunchbase.com/organization/pansieve,"Professional Services, Financial Services","Redmond, Washington, United States",Pansieve offers a tool letting users design mobile business forms that suit their individual businesses.,"51,016",1/1/12,,8/10/13,1,"$118,000 ",Seed,"$118,000 ","$118,000 ","$118,000 "
FoodCrave Inc,https://www.crunchbase.com/organization/foodcrave-inc,"Administrative Services, Transportation","Dublin, California, United States",FoodCrave is a website for online food delivery service.,"52,137",8/10/13,,8/10/13,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Commtimize,https://www.crunchbase.com/organization/commtimize,Commerce and Shopping,"Walnut Creek, California, United States",Real-time Conversion Rate Optimization Platform,"52,115",1/1/13,,8/12/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
ICU Metrix,https://www.crunchbase.com/organization/icu-metrix,"Biotechnology, Science and Engineering, Health Care","Lakewood, Colorado, United States",ICU Metrix is an intensivist-driven company developing clinical processes and technology to improve clinical outcomes and cost reduction.,"56,192",1/1/13,,8/12/13,1,"$116,667 ",Seed,"$116,667 ","$116,667 ","$116,667 "
NearWoo,https://www.crunchbase.com/organization/one-page,"Sales and Marketing, Design, Mobile, Advertising","Santa Monica, California, United States",Communities are built on small businesses. Small businesses are built on NearWoo.,"32,986",1/5/12,,8/13/13,2,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
Luxury Watches NYC,https://www.crunchbase.com/organization/luxury-watches-nyc,"Hardware, Consumer Electronics, Internet Services","New York, New York, United States",Online marketplace for buyers and sellers of luxury pre-owned watches.,"43,055",1/19/13,,8/14/13,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
Prime Connections,https://www.crunchbase.com/organization/prime-connections,"Information Technology, Software, Sales and Marketing, Advertising","Austin, Texas, United States",PrimeConnections Contact Solutions provides customer contact management solutions and services in the business process outsourcing arena.,"49,360",1/1/12,,8/15/13,1,"$175,000 ",Seed,"$175,000 ","$175,000 ","$175,000 "
DivvyDown,https://www.crunchbase.com/organization/divvydown,Commerce and Shopping,"New York, New York, United States",The easiest way to get everything you need for your party or event.,"52,042",1/1/12,,8/15/13,1,"$32,500 ",Seed,"$32,500 ","$32,500 ","$32,500 "
PromoteU,https://www.crunchbase.com/organization/promoteu,"Software, Sales and Marketing, Professional Services","Danville, California, United States",PromoteU is an angel-backed platform for brands and agencies to manage campus ambassador programs.,"53,524",4/1/13,,8/15/13,1,"$60,000 ",Seed,"$60,000 ","$60,000 ","$60,000 "
VentureHire,https://www.crunchbase.com/organization/venturehire,"Software, Education","Silver Spring, Maryland, United States","VentureHire.co creates, nurtures, and curates talent for the global entrepreneurial ecosystem.","58,733",6/6/12,,8/16/13,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Globa.li,https://www.crunchbase.com/organization/globa-li,"Travel and Tourism, Software, Mobile","Denver, Colorado, United States","Globa.li is an online global distribution system offering travel companies cloud-based solutions for sales, contracting, and more.","37,631",1/1/12,,8/20/13,1,"$675,000 ",Seed,"$675,000 ","$675,000 ","$675,000 "
Eterniam,https://www.crunchbase.com/organization/eterniam,"Media and Entertainment, Internet Services, Content and Publishing","Seattle, Washington, United States",Eterniam offers a web/mobile app for its users to create a digital estate that preserves and bequeaths their digital assets.,"56,354",1/1/13,,8/20/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
norin.tv,https://www.crunchbase.com/organization/norin-tv,Education,"Ohio, Illinois, United States",Norin.TV (formerly Ten Thousand Hours) is a website where users learn English by watching popular American TV shows and movies.,"61,677",1/1/13,,8/20/13,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
HeartThis,https://www.crunchbase.com/organization/heartthis,"Commerce and Shopping, Community and Lifestyle","San Francisco, California, United States",All your favorite stores in one place,"15,895",6/1/13,,8/21/13,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Cluster Labs,https://www.crunchbase.com/organization/cluster,"Apps, Media and Entertainment, Software, Content and Publishing, Mobile","San Francisco, California, United States",Cluster Labs is a mobile application that allows its users to create albums and share photos with friends and family members.,"21,191",1/1/13,,8/22/13,1,"$1,600,000 ",Seed,"$1,600,000 ","$1,600,000 ","$1,600,000 "
Vidaao,https://www.crunchbase.com/organization/vidaao,"Commerce and Shopping, Media and Entertainment, Video","New York, New York, United States",Vidaao is an online marketplace connecting buyers and sellers of custom video production services.,"35,271",9/24/12,,8/22/13,3,"$300,000 ",Seed,"$300,000 ","$525,000 ","$525,000 "
The IQ Collective,https://www.crunchbase.com/organization/the-iq-collective,"Software, Education","San Francisco, California, United States",The IQ Collective is a global social distribution network that connects innovative schools to innovative solutions.,"59,269",1/1/12,,8/22/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Elto,https://www.crunchbase.com/organization/elto,Software,"San Francisco, California, United States",Elto is a curated marketplace of expert marketers and developers who help small business owners grow their businesses online.,"91,864",7/14/12,,8/22/13,1,"$700,000 ",Seed,"$700,000 ","$632,530 ","$632,530 "
Main Street Genome,https://www.crunchbase.com/organization/main-street-genome,"Data and Analytics, Financial Services","Washington, District of Columbia, United States",Data-Centric Tools to enable Smart Purchasing for Main Street businesses,"32,328",1/1/13,,8/23/13,1,"$2,250,000 ",Seed,"$2,250,000 ","$2,250,000 ","$2,250,000 "
Carte Blanche,https://www.crunchbase.com/organization/carte-blanche,"Clothing and Apparel, Internet Services, Design","New York, New York, United States",Crowd-sourced high quality dresses,"54,827",1/1/13,,8/23/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
TradeGig,https://www.crunchbase.com/organization/tradegig,"Commerce and Shopping, Advertising","San Francisco, California, United States","We founded TradeGig in 2012, and released our first version of the TradeGig platform in November of 2012.","57,428",1/1/12,,8/23/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
BeanJockey,https://www.crunchbase.com/organization/beanjockey,Financial Services,"New York, New York, United States","BeanJockey is a powerful financial web application that determines the best way to repay and optimize debt repayment of student loans,","58,388",1/1/12,,8/23/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Fitcline,https://www.crunchbase.com/organization/fitcline,"Sports, Health Care","Chicago, Illinois, United States","Fitcline is an all-inclusive application that tracks the userâ€™s fitness abilities, diet, weight loss, and the overall health condition.","61,475",7/1/13,,8/23/13,2,"$15,000 ",Seed,"$15,000 ","$20,000 ","$20,000 "
Loopport,https://www.crunchbase.com/organization/loopport,"Media and Entertainment, Music and Audio","Los Angeles, California, United States","Loopport creates and distributes loops, beats, sample patches and other musicians' tools.","49,462",1/1/12,,8/26/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
4Soils,https://www.crunchbase.com/organization/4soils,"Apps, Community and Lifestyle, Software, Education","Stanford, California, United States",4Soils develops iOS applications that engage children with Bible stories.,"56,150",1/1/12,,8/26/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
SeniorSource,https://www.crunchbase.com/organization/seniorsource,"Media and Entertainment, Health Care","Sarasota, Florida, United States",SeniorSource provides advice on VA benefits for senior citizens and guidance for old-age care services.,"52,029",1/1/12,1/1/15,8/27/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Peoplug,https://www.crunchbase.com/organization/peoplug,"Platforms, Apps, Software, Mobile","France, Idaho, United States",Peoplug designs and develops mobile applications.,"53,275",1/1/13,,8/27/13,1,"â‚©299,700,000",Seed,"â‚©299,700,000","$268,900 ","$268,900 "
ShopPad,https://www.crunchbase.com/organization/shoppad,"Platforms, Commerce and Shopping, Software, Mobile","Oakland, California, United States",ShopPad is an application used to convert a desktop e-commerce site into an interface optimized for every version of the iPad.,"33,841",8/1/12,,8/28/13,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Elucid Bioimaging,https://www.crunchbase.com/organization/elucid-bioimaging,"Biotechnology, Science and Engineering, Data and Analytics, Health Care","Wenham, Massachusetts, United States",Elucid Bioimaging offers products and services to advance quantitative imaging and integrative medical science for the benefit of patients.,"46,106",1/1/13,,8/28/13,1,"$375,000 ",Seed,"$375,000 ","$375,000 ","$375,000 "
Brevado,https://www.crunchbase.com/organization/brevado,Software,"Durham, North Carolina, United States",Brevado enables businesses to provide their clients with project timelines and automatic progress updates.,"51,961",3/1/13,,8/28/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
FlagTap,https://www.crunchbase.com/organization/flagtap,"Gaming, Data and Analytics","San Francisco, California, United States",FlagTap is a rewards platform that helps websites increase engagement using analytic data and related tools.,"52,815",10/1/12,,8/28/13,2,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
GrowYo,https://www.crunchbase.com/organization/growyo,"Internet Services, Design","Miami, Florida, United States","GrowYo designs, installs, and maintains indoor and outdoor plantation systems for operations of all sizes and needs.","61,306",6/6/13,,8/28/13,1,"$8,000 ",Seed,"$8,000 ","$8,000 ","$8,000 "
Learneroo,https://www.crunchbase.com/organization/learneroo,"Media and Entertainment, Software, Education","New York, New York, United States",Learn programming and more through interactive content and challenges.,"65,639",4/1/13,,8/28/13,1,"$1,290 ",Seed,"$1,290 ","$1,290 ","$1,290 "
AGI Innovations Inc.,https://www.crunchbase.com/organization/agi-innovations-inc,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Los Angeles, California, United States","AGI Innovations is a developer of an advanced, general-purpose natural language intelligence engine.","24,677",8/29/13,,8/29/13,1,"$4,000,000 ",Seed,"$4,000,000 ","$4,000,000 ","$4,000,000 "
Sqwiggle,https://www.crunchbase.com/organization/sqwiggle,"Media and Entertainment, Software, Video, Content and Publishing","San Francisco, California, United States",Sqwiggle is an always-on online workplace that allows remote team members to work together and feel more connected.,"27,440",2/1/13,,8/29/13,1,"$1,100,000 ",Seed,"$1,100,000 ","$1,100,000 ","$1,100,000 "
ROSTR,https://www.crunchbase.com/organization/rostr,"Software, Sports, Health Care, Mobile","Jacksonville, Florida, United States",ROSTR offers scouting and talent evaluation services to high school athletes who seek college scholarships for their potential sport.,"52,551",7/1/13,,8/29/13,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
PopUp,https://www.crunchbase.com/organization/popup,"Media and Entertainment, Navigation and Mapping, Data and Analytics, Internet Services, Mobile","Durham, North Carolina, United States","PopUp, a mobile app, enables users to leave reviews, tips and reminders about places which will popup when online followers arrive.","30,553",9/1/12,,9/1/13,2,"$650,000 ",Seed,"$650,000 ","$831,000 ","$831,000 "
Xwalker,https://www.crunchbase.com/organization/xwalker,"Software, Payments, Internet Services, Financial Services, Mobile","Santa Barbara, California, United States",Discovery shopping search engine targeting hyperlocal sales of boutiques nearby.,"30,888",4/23/13,,9/1/13,1,"$1,400,000 ",Seed,"$1,400,000 ","$1,400,000 ","$1,400,000 "
Momensity10,https://www.crunchbase.com/organization/momensity,"Apps, Media and Entertainment, Software, Internet Services","Stafford, Virginia, United States","A Live Concert and Events App - Explore, Discover and Support IndieFilm,Artists and Culture","34,707",9/1/13,,9/1/13,1,"$568,000 ",Seed,"$568,000 ","$568,000 ","$568,000 "
Private.Me,https://www.crunchbase.com/organization/private-me,"Information Technology, Data and Analytics, Software, Internet Services","Los Angeles, California, United States",Mission Statement: Internet users are in need of the ability to manage sensitive data privately. Private.,"39,249",1/1/12,,9/1/13,1,"$180,000 ",Seed,"$180,000 ","$180,000 ","$180,000 "
AquaRa Nutraceuticals,https://www.crunchbase.com/organization/aquara-nutraceuticals,"Sports, Health Care","San Francisco, California, United States",Relieving drug side effects and solving poorly met medical needs with nutraceuticals instead of drugs.,"39,914",1/1/12,,9/1/13,1,"$125,000 ",Seed,"$125,000 ","$125,000 ","$125,000 "
Blokify,https://www.crunchbase.com/organization/blokify,"Software, Consumer Goods, Design","New York, New York, United States",Blokify offers 3D modeling software that enables kids to create toys they can play with virtually or physically.,"44,985",5/29/13,,9/1/13,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
BioNanovations,https://www.crunchbase.com/organization/bionanovations,Health Care,"Memphis, Tennessee, United States",BioNanovations is developing a real-time bacterial diagnostic platform to decrease the diagnostic time of Staph infections.,"46,341",5/14/12,,9/1/13,3,"$40,000 ",Seed,"$40,000 ","$165,000 ","$165,000 "
Focal Point Pharmaceuticals,https://www.crunchbase.com/organization/focal-point-pharmaceuticals,Health Care,"Memphis, Tennessee, United States",Focal Point Pharmaceuticals is a healthcare company focused on pharmaceutical businesses.,"46,803",1/1/13,,9/1/13,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Insightfulinc,https://www.crunchbase.com/organization/insightfulinc,"Media and Entertainment, Internet Services","Woodinville, Washington, United States",Business Networks Revealed,"46,918",1/1/13,,9/1/13,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Graphenics,https://www.crunchbase.com/organization/graphenics,"Manufacturing, Science and Engineering, Transportation","Tuscaloosa, Alabama, United States","Graphenics is a woman-owned, globally minded company that seeks to replace carbon fiber with an affordable substitute, graphene.","47,502",9/26/12,,9/1/13,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
WorkHands,https://www.crunchbase.com/organization/workhands,"Media and Entertainment, Internet Services, Mobile","San Francisco, California, United States",Professional Network for the Skilled Trades,"47,624",1/28/13,,9/1/13,2,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Retention,https://www.crunchbase.com/organization/retention,"Platforms, Software, Mobile","Palo Alto, California, United States",Powerful Uninstall Intelligence.,"49,714",5/5/13,,9/1/13,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
View Medical,https://www.crunchbase.com/organization/view-medical,"Hardware, Health Care","Memphis, Tennessee, United States",The Surgilight by View Medical is a surgical lighting system that aims to provide surgeons with a safe and practical illumination device.,"49,909",5/11/13,,9/1/13,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Pure Nootropics,https://www.crunchbase.com/organization/pure-nootropics,Health Care,"Albuquerque, New Mexico, United States",Pure Nootropics is a developer of smart drugs that enhances people's lives.,"50,390",9/1/13,,9/1/13,1,"$10,000 ",Seed,"$10,000 ","$10,000 ","$10,000 "
Muzico International,https://www.crunchbase.com/organization/muzico-international,"Media and Entertainment, Music and Audio, Financial Services","San Francisco, California, United States",Muzico is a crowdfunding platform that enables artists to launch self-service campaigns for the advancement of their careers.,"51,205",9/1/13,,9/1/13,1,"$110,000 ",Seed,"$110,000 ","$110,000 ","$110,000 "
Tempered Mind,https://www.crunchbase.com/organization/tempered-mind,"Education, Mobile","Stillwater, Oklahoma, United States","We make fun educational. At Tempered Mind, we focus on education thatâ€™s both fun and mobile. We build it so you can bring it with you.","51,424",5/1/12,,9/1/13,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Kate's Goodness,https://www.crunchbase.com/organization/kates-goodness,"Navigation and Mapping, Data and Analytics, Internet Services, Mobile","New York, New York, United States",User-generated location content 2.0,"51,807",6/1/13,,9/1/13,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Naow,https://www.crunchbase.com/organization/naow,"Media and Entertainment, Community and Lifestyle, Internet Services","New York, New York, United States","Naow's app lets you ask anything you have in mind at the moment, to anyone nearby. Get quick answers on any topic and start conversations","51,897",1/1/13,,9/1/13,1,"$113,000 ",Seed,"$113,000 ","$113,000 ","$113,000 "
Flowity,https://www.crunchbase.com/organization/flowity,"Information Technology, Software, Professional Services, Internet Services, Messaging and Telecommunications","San Mateo, California, United States","Flowity is a communication, collaboration, and sourcing management platform developed for global buyers and manufactures.","52,473",1/1/13,,9/1/13,1,"$64,000 ",Seed,"$64,000 ","$64,000 ","$64,000 "
CloudBase3,https://www.crunchbase.com/organization/cloudbase3,"Information Technology, Community and Lifestyle, Software, Internet Services","San Mateo, California, United States",CloudBase3 offers an advisory network that enables individuals to get their questions answered by subject experts.,"53,787",1/1/12,,9/1/13,1,"$125,000 ",Seed,"$125,000 ","$125,000 ","$125,000 "
