Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
Spiffy Society,2012-10-23,,2,2013-11-15,300000,800000,Closed,Seed,500000,10/12/2012,04216151c32e2c64dad181ff20706d70,http://www.spiffysociety.com,<12K,N/A,N/A,N/A
Spotster,2012-06-01,,1,2012-01-01,250000,250000,Closed,Seed,250000,1/1/2012,ebd17196ca19198b2109d4283a5b40ba,http://spotster.com,<12K,N/A,N/A,N/A
Sprig,2013-04-01,2017-05-26,4,2015-04-15,45000000,56700000,Closed,Seed,1200000,11/6/2013,38ed99e6f8290f42de8593b881732188,http://www.sprig.com/,<12K,00:00:48,1.50,68.95%
Sqwiggle,2013-02-01,,1,2013-08-29,1100000,1100000,Closed,Seed,1100000,8/29/2013,feadd48f3e5533acfeb00907e7c85c50,http://www.sqwiggle.com,<12K,00:00:07,1.22,83.53%
Stand Offer,2012-08-02,2014-01-01,2,2012-09-15,2000,4500,Closed,Seed,2000,9/15/2012,41da7a6af69e49c0553640fa7556df7a,http://www.standoffer.com,<12K,N/A,N/A,N/A
Starbates,2012-01-01,,1,2012-02-14,20000,20000,Closed,Seed,20000,2/14/2012,f4540f6748e330ddff96d4f86a95037a,http://www.starbates.com,<12K,N/A,N/A,N/A
Starboard Storage Systems,2012-02-13,2014-01-01,1,2012-05-13,13000000,13000000,Closed,Series B,13000000,5/13/2012,7e4dc1806856cc05ea4bf0afb523370b,http://www.starboardstorage.com,<12K,00:00:29,4.00,N/A
Status,2014-01-01,2015-01-01,1,2014-03-05,750000,750000,Closed,Seed,750000,3/5/2014,23ba035053a95306864807501700efd3,http://statushq.com,<12K,N/A,N/A,N/A
Sumpto,2012-07-30,2015-03-01,2,2013-10-22,350000,425000,Closed,Seed,350000,10/22/2013,c9c9d608ac83532b9ea54501445d89e2,http://www.sumpto.com,<12K,N/A,N/A,N/A
SunnyBump,2012-01-01,,1,2012-12-15,375000,375000,Closed,Seed,375000,12/15/2012,d118e0e3f0284ecede6f342fd06f0514,http://www.sunnybump.com,<12K,00:00:16,1.15,25.56%
SupplySeeker.com,2012-02-01,2013-11-01,1,2012-02-01,100000,100000,Closed,Seed,100000,2/1/2012,cafbdec3909a2383fd39e5bdbfae4f92,http://www.supplyseeker.com,<12K,N/A,N/A,N/A
SweetSlap,2012-08-01,2013-07-01,1,2012-08-01,50000,50000,Closed,Seed,50000,8/1/2012,eaceb5e2539fcbb5edbb79e74d819cb5,http://www.sweetslap.com,<12K,N/A,1.00,100.00%
TagaPet,2012-04-20,,3,2014-02-01,57000,77000,Closed,Seed,20000,10/14/2013,1e4fb402a27b4d4c21ad4c103719c6bd,http://www.tagapet.com,<12K,N/A,N/A,N/A
TenderTree,2012-01-01,2013-11-01,1,2012-11-14,1300000,1300000,Closed,Seed,1300000,11/14/2012,7ed3bf769c0193339e6966256a32b8c9,http://www.tendertree.com,<12K,00:00:16,1.43,56.67%
Text And The City,2012-01-01,,4,2014-04-01,10000,100830,Closed,Seed,10000,4/1/2014,2a80955244866288774fee14a40b9b60,http://www.textandthecity.com,<12K,N/A,N/A,N/A
