Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
APE Systems,2013-05-08,,1,2013-09-01,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2013-09-01
APImetrics,2014-01-01,,2,2015-02-17,"$500,000 ","$650,000 ",Operating,Seed,"$500,000 ",2015-02-17
APImetrics,2014-01-01,,2,2015-02-17,"$500,000 ","$650,000 ",Operating,Seed,"$150,000 ",2014-09-30
APPrise Mobile,2012-01-01,,2,2016-09-19,"$1,000,000 ","$1,750,000 ",Operating,Seed,"$1,000,000 ",2016-09-19
APPrise Mobile,2012-01-01,,2,2016-09-19,"$1,000,000 ","$1,750,000 ",Operating,Seed,"$750,000 ",2016-01-01
APROOFED,2013-02-01,,1,2013-06-01,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2013-06-01
APerfectShirt.com,2012-06-01,,1,2012-11-01,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2012-11-01
APiO,2016-01-01,,1,2017-07-20,"$2,500,000 ","$2,500,000 ",Operating,Seed,"$2,500,000 ",2017-07-20
ARAZOO,2013-01-01,,1,2014-12-11,"$1,060,000 ","$1,060,000 ",Operating,Seed,"$1,060,000 ",2014-12-11
ARCH Platform Technologies,2015-10-01,,1,2015-10-01,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2015-10-01
AREVS,2012-09-01,,1,2013-01-31,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2013-01-31
ARMO BioSciences,2013-01-01,,3,2016-02-10,"$50,000,000 ","$100,000,000 ",Operating,Series A,"$20,000,000 ",2013-11-25
ARMO BioSciences,2013-01-01,,3,2016-02-10,"$50,000,000 ","$100,000,000 ",Operating,Series B,"$30,000,000 ",2014-05-28
ARMO BioSciences,2013-01-01,,3,2016-02-10,"$50,000,000 ","$100,000,000 ",Operating,Series C,"$50,000,000 ",2016-02-10
ARTDEX,2012-01-30,,1,2012-09-30,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2012-09-30
ARTSEE,2014-01-01,,1,2014-01-01,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2014-01-01
ATOMIZED,2013-12-15,,4,2016-11-03,"$2,500,000 ","$5,955,000 ",Operating,Seed,"$2,500,000 ",2016-11-03
ATOMIZED,2013-12-15,,4,2016-11-03,"$2,500,000 ","$5,955,000 ",Operating,Seed,"$855,000 ",2014-10-01
ATOMIZED,2013-12-15,,4,2016-11-03,"$2,500,000 ","$5,955,000 ",Operating,Seed,"$600,000 ",2014-02-01
ATTN:,2014-06-01,,2,2016-02-19,"$18,000,000 ","$22,099,999 ",Operating,Series A,"$4,099,999 ",2014-12-04
ATTN:,2014-06-01,,2,2016-02-19,"$18,000,000 ","$22,099,999 ",Operating,Series B,"$18,000,000 ",2016-02-19
AUrate,2014-01-01,,1,2017-06-29,"$2,630,000 ","$2,630,000 ",Operating,Seed,"$2,630,000 ",2017-06-29
AVA,2016-01-01,,1,2016-06-14,"$3,000,000 ","$3,000,000 ",Operating,Seed,"$3,000,000 ",2016-06-14
AVIA,2012-01-01,,4,2016-08-11,"$7,200,000 ","$19,100,000 ",Operating,Series B,"$5,900,000 ",2015-09-01
AVIA,2012-01-01,,4,2016-08-11,"$7,200,000 ","$19,100,000 ",Operating,Series C,"$7,200,000 ",2016-08-11
AWOO LLC.,2012-08-01,,1,2012-09-01,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2012-09-01
AX Trading Network,2013-01-01,,1,2016-10-26,"$20,000,000 ","$20,000,000 ",Operating,Series A,"$20,000,000 ",2016-10-26
AZ Tech Beat,2012-01-01,,1,2014-12-16,"$200,000 ","$200,000 ",Operating,Seed,"$200,000 ",2014-12-16
Aaptiv,2015-01-01,,2,2016-05-25,"$1,070,000 ","$1,520,000 ",Operating,Seed,"$1,070,000 ",2016-05-25
Aaptiv,2015-01-01,,2,2016-05-25,"$1,070,000 ","$1,520,000 ",Operating,Seed,"$450,000 ",2016-01-29
AardvarkCompare.com,2015-05-15,,1,2015-05-15,"$150,000 ","$150,000 ",Operating,Seed,"$150,000 ",2015-05-15
Abakus,2013-01-01,,1,2013-12-25,"$825,000 ","$825,000 ",Was Acquired,Seed,"$825,000 ",2013-12-25
AbbeyPost,2012-08-01,,5,2014-07-11,"$425,000 ","$875,000 ",Was Acquired,Seed,"$425,000 ",2014-07-11
AbbeyPost,2012-08-01,,5,2014-07-11,"$425,000 ","$875,000 ",Was Acquired,Seed,"$225,000 ",2014-04-06
AbbeyPost,2012-08-01,,5,2014-07-11,"$425,000 ","$875,000 ",Was Acquired,Seed,"$100,000 ",2014-01-30
AbbeyPost,2012-08-01,,5,2014-07-11,"$425,000 ","$875,000 ",Was Acquired,Seed,"$25,000 ",2013-07-30
Abbott NYC,2015-06-01,,1,2015-06-06,"$400,000 ","$400,000 ",Operating,Seed,"$400,000 ",2015-06-06
Abl Schools,2015-09-01,,2,2017-06-29,"$7,500,000 ","$12,000,000 ",Operating,Seed,"$4,500,000 ",2016-01-15
Abl Schools,2015-09-01,,2,2017-06-29,"$7,500,000 ","$12,000,000 ",Operating,Series A,"$7,500,000 ",2017-06-29
Able Device,2012-01-01,,1,2012-08-27,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2012-08-27
Able Health,2015-04-01,,1,2015-11-01,"$120,000 ","$120,000 ",Operating,Seed,"$120,000 ",2015-11-01
Abom,2012-01-01,,3,2016-09-09,"$8,600,000 ","$9,800,000 ",Operating,Series A,"$8,600,000 ",2016-09-09
Above Average,2012-06-01,,3,2016-07-20,"$15,000,000 ","$25,750,000 ",Operating,Series B,"$15,000,000 ",2016-07-20
Abovo42 Corporation,2015-04-02,,1,2015-08-05,"$500,000 ","$500,000 ",Operating,Seed,"$500,000 ",2015-08-05
Absolute Commerce,2012-01-01,,1,2014-05-09,"$200,000 ","$200,000 ",Operating,Seed,"$200,000 ",2014-05-09
Abundant Robotics,2016-01-01,,2,2017-05-04,"$10,000,000 ","$12,000,000 ",Operating,Seed,"$2,000,000 ",2016-03-01
Abundant Robotics,2016-01-01,,2,2017-05-04,"$10,000,000 ","$12,000,000 ",Operating,Series A,"$10,000,000 ",2017-05-04
Acacia Interactive,2012-03-10,,3,2013-03-29,"$762,000 ","$792,000 ",Operating,Seed,"$762,000 ",2013-03-29
Acacia Interactive,2012-03-10,,3,2013-03-29,"$762,000 ","$792,000 ",Operating,Seed,"$15,000 ",2012-05-20
Acacia Interactive,2012-03-10,,3,2013-03-29,"$762,000 ","$792,000 ",Operating,Seed,"$15,000 ",2012-09-01
Acacia Trading,2014-01-01,,1,2014-10-20,"$3,300 ","$3,300 ",Operating,Seed,"$3,300 ",2014-10-20
Accelerate Learning,2013-01-01,,1,2016-05-24,"$10,000,000 ","$10,000,000 ",Operating,Series A,"$10,000,000 ",2016-05-24
Accern,2014-08-04,,2,2017-05-15,"$1,250,000 ","$1,435,000 ",Operating,Seed,"$1,250,000 ",2017-05-15
Access Innovation LLC,2016-04-01,,1,2016-08-01,"$700,000 ","$700,000 ",Operating,Seed,"$700,000 ",2016-08-01
Accion Systems,2014-01-01,,3,2016-05-12,"$7,500,000 ","$12,500,000 ",Operating,Seed,"$2,000,000 ",2015-01-05
Accion Systems,2014-01-01,,3,2016-05-12,"$7,500,000 ","$12,500,000 ",Operating,Series A,"$7,500,000 ",2016-05-12
Acclaimd,2012-02-01,,2,2012-08-07,"$70,000 ","$90,000 ",Operating,Seed,"$70,000 ",2012-08-07
