Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage
ALICE,2012-07-01,,3,2016-01-19,9500000,13000000,Operating,Seed,3000000,2015-02-09,48259b86-2420-a8b1-984c-51d21fd128e5,http://info.aliceapp.com/
ALICE,2012-07-01,,3,2016-01-19,9500000,13000000,Operating,Seed,3000000,2015-02-09,461a65dc-c6b6-4b97-c924-2590555bdc8d,http://aliceinc.com
ALICE,2012-07-01,,3,2016-01-19,9500000,13000000,Operating,Series A,9500000,2016-01-19,48259b86-2420-a8b1-984c-51d21fd128e5,http://info.aliceapp.com/
ALICE,2012-07-01,,3,2016-01-19,9500000,13000000,Operating,Series A,9500000,2016-01-19,461a65dc-c6b6-4b97-c924-2590555bdc8d,http://aliceinc.com
ALL DAY MEDIA,2013-01-01,,1,2016-08-02,2301600,2301600,Operating,Seed,2301600,2016-08-02,aa1c3ab1-318c-fa94-591a-2ac8bf4e9d06,http://allday.com/
AMP Robotics,2015-01-01,,2,2015-05-14,98250,248250,Operating,Seed,150000,2015-01-01,258ced84-7c9e-3fba-8bfe-bd406c026c88,http://amprobotics.com
AMP Robotics,2015-01-01,,2,2015-05-14,98250,248250,Operating,Seed,98250,2015-05-14,258ced84-7c9e-3fba-8bfe-bd406c026c88,http://amprobotics.com
AMPY,2013-01-16,,2,2015-10-22,875000,950000,Operating,Seed,875000,2015-10-22,6896143a-0c72-343c-7b05-870277c665bd,http://www.getampy.com
AMPY,2013-01-16,,2,2015-10-22,875000,950000,Operating,Seed,75000,2014-04-07,6896143a-0c72-343c-7b05-870277c665bd,http://www.getampy.com
AMS-Qi,2012-01-01,,1,2013-10-30,50000,50000,Operating,Seed,50000,2013-10-30,ad784406-3d84-a99b-8b40-0b659a630903,http://www.ams-qi.com
AND CO,2014-01-01,,2,2016-03-28,2000000,2500000,Operating,Seed,2000000,2016-03-28,f44d7484-3abf-fa29-6c07-3b1763826fdb,http://www.and.co
AOBiome,2013-01-01,,4,2017-01-05,30000000,38706513,Operating,Seed,630000,2013-03-21,d76f491a-dcb7-fb43-f0c1-aa3300e7a967,https://www.aobiome.com/
AOBiome,2013-01-01,,4,2017-01-05,30000000,38706513,Operating,Series B,7500000,2014-12-31,d76f491a-dcb7-fb43-f0c1-aa3300e7a967,https://www.aobiome.com/
AOBiome,2013-01-01,,4,2017-01-05,30000000,38706513,Operating,Series C,30000000,2017-01-05,d76f491a-dcb7-fb43-f0c1-aa3300e7a967,https://www.aobiome.com/
APANA,2012-12-31,,1,2017-01-17,3500000,3500000,Operating,Series A,3500000,2017-01-17,72f76cf4-5eb9-8c96-9ef0-ab7fefa75dc4,http://www.apana.com
APE Systems,2013-05-08,,1,2013-09-01,20000,20000,Operating,Seed,20000,2013-09-01,62d6ff9f-40ce-918b-5de1-95d7f0528ee2,http://ape-system.com
APImetrics,2014-01-01,,2,2015-02-17,500000,650000,Operating,Seed,500000,2015-02-17,7d394385-c323-3184-9b96-af3d7b35e338,http://apimetrics.io
APImetrics,2014-01-01,,2,2015-02-17,500000,650000,Operating,Seed,150000,2014-09-30,7d394385-c323-3184-9b96-af3d7b35e338,http://apimetrics.io
APPrise Mobile,2012-01-01,,2,2016-09-19,1000000,1750000,Operating,Seed,1000000,2016-09-19,deb44f28-5a8b-975e-1395-65b47644163e,http://apprise-mobile.com/
APPrise Mobile,2012-01-01,,2,2016-09-19,1000000,1750000,Operating,Seed,750000,2016-01-01,deb44f28-5a8b-975e-1395-65b47644163e,http://apprise-mobile.com/
APROOFED,2013-02-01,,1,2013-06-01,20000,20000,Operating,Seed,20000,2013-06-01,cf5f2a63-2648-f1b1-8c65-a2c39c6510e9,http://www.aproofed.com
APerfectShirt.com,2012-06-01,,1,2012-11-01,100000,100000,Operating,Seed,100000,2012-11-01,2e777195-c768-873a-c072-46de15e749e1,http://www.aperfectshirt.com
APiO,2016-01-01,,1,2017-07-20,2500000,2500000,Operating,Seed,2500000,2017-07-20,ca4d5840-e90c-61d9-6e71-ce8ea3e9a0cb,http://www.apio.tech/
ARAZOO,2013-01-01,,1,2014-12-11,1060000,1060000,Operating,Seed,1060000,2014-12-11,cd136515-65cc-49c4-bd16-1f3096e57e94,https://www.arazoo.com/
ARCH Platform Technologies,2015-10-01,,1,2015-10-01,500000,500000,Operating,Seed,500000,2015-10-01,723f4a4b-67fd-7cbc-3756-eddc1dd53f69,http://archplatformtechnologies.com/
AREVS,2012-09-01,,1,2013-01-31,150000,150000,Operating,Seed,150000,2013-01-31,f9255196-349d-75b7-9562-e35471f19ae0,https://arevs.us/
ARMO BioSciences,2013-01-01,,3,2016-02-10,50000000,100000000,Operating,Series A,20000000,2013-11-25,4dcdbcce-73e6-62d1-f637-fd0f46de5d03,http://armobio.com
ARMO BioSciences,2013-01-01,,3,2016-02-10,50000000,100000000,Operating,Series B,30000000,2014-05-28,4dcdbcce-73e6-62d1-f637-fd0f46de5d03,http://armobio.com
ARMO BioSciences,2013-01-01,,3,2016-02-10,50000000,100000000,Operating,Series C,50000000,2016-02-10,4dcdbcce-73e6-62d1-f637-fd0f46de5d03,http://armobio.com
ARTDEX,2012-01-30,,1,2012-09-30,500000,500000,Operating,Seed,500000,2012-09-30,612141e2-0a64-079d-28d2-23c5e888d7de,http://www.artdex.com
ARTSEE,2014-01-01,,1,2014-01-01,50000,50000,Operating,Seed,50000,2014-01-01,b217d73b-6bb3-be66-6d1c-6cb2bf8e3470,http://www.artseeapp.com
ATOMIZED,2013-12-15,,4,2016-11-03,2500000,5955000,Operating,Seed,2500000,2016-11-03,1767aa26-896e-5a1b-9f67-791f33533b63,http://atomized.com
ATOMIZED,2013-12-15,,4,2016-11-03,2500000,5955000,Operating,Seed,855000,2014-10-01,1767aa26-896e-5a1b-9f67-791f33533b63,http://atomized.com
ATOMIZED,2013-12-15,,4,2016-11-03,2500000,5955000,Operating,Seed,600000,2014-02-01,1767aa26-896e-5a1b-9f67-791f33533b63,http://atomized.com
ATTN:,2014-06-01,,2,2016-02-19,18000000,22099999,Operating,Series A,4099999,2014-12-04,a1b0b368-ef94-1c89-1d56-b69fad37b557,http://www.attn.com
ATTN:,2014-06-01,,2,2016-02-19,18000000,22099999,Operating,Series B,18000000,2016-02-19,a1b0b368-ef94-1c89-1d56-b69fad37b557,http://www.attn.com
AUrate,2014-01-01,,1,2017-06-29,2630000,2630000,Operating,Seed,2630000,2017-06-29,a0b8a55d-181d-6279-c7bb-c3f53c50bb01,http://www.auratenewyork.com
AVA,2016-01-01,,1,2016-06-14,3000000,3000000,Operating,Seed,3000000,2016-06-14,2de47da4-18dd-ea24-1b5b-9b3a9c6cb97f,http://ava.ph
AVA,2016-01-01,,1,2016-06-14,3000000,3000000,Operating,Seed,3000000,2016-06-14,a1c2a875-4756-2bcc-adbc-ce9986987dab,https://ava.info/
