Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
CureSquare,1/1/2012,,1,1/1/2012,375000,375000,Closed,Seed,375000,1/1/2012,253615af9f5471161fa0374b825d468f,http://www.curesquare.com,<12K,,1,100.00%
Cuturia,4/1/2012,10/1/2013,1,4/1/2012,200000,200000,Closed,Seed,200000,4/1/2012,0308d62b9a39118445093f262fc1320a,http://www.cuturia.com,<12K,,,
Dick or Bro,1/1/2012,,1,1/1/2011,150000,150000,Closed,Seed,150000,1/1/2011,f1ca6825b0b0849f0a8974192c1a903d,http://www.dickorbro.com,<12K,,1,100.00%
Din,7/1/2014,,1,9/25/2015,3000000,3000000,Closed,Seed,3000000,9/25/2015,0d3f59cb5cd93ae48e71b3bc8ae70418,https://www.din.co/,<12K,,1.11,88.63%
Dinamundo,1/31/2012,9/1/2013,1,4/1/2012,552000,552000,Closed,Seed,552000,4/1/2012,0cf8f2494b95f8549925de8241738a8d,http://www.dinamundo.com,<12K,,,
Dragos Security,8/15/2013,5/1/2016,1,8/24/2016,1200000,1200000,Closed,Seed,1200000,8/24/2016,9bf5ed3a83930075ea53f33b021da080,https://www.dragossecurity.com,<12K,0:00:01,1.28,72.36%
Drive Pulse,7/2/2013,,1,3/1/2014,120000,120000,Closed,Seed,120000,3/1/2014,38382a674ef74efbe734b74650a64f88,https://drivepulseapp.com,<12K,,1,100.00%
Easiest Credit Card To Get Approved For,5/11/2012,5/1/2013,1,5/1/2012,25000,25000,Closed,Seed,25000,5/1/2012,82083f93861a6cd260746ef94d065b08,http://www.easiestcreditcardtogetapprovedfor.com,<12K,,,
Echelon Creative,1/1/2015,3/30/2016,1,8/3/2015,100000,100000,Closed,Seed,100000,8/3/2015,6e99010d55cb84dcdf82c58542efbd81,http://wordsu.com/,<12K,,,
Elephant.is,1/1/2012,,1,5/1/2012,100000,100000,Closed,Seed,100000,5/1/2012,49bad56316e39620b6733ff75ca01803,http://elephant.is,<12K,0:00:45,2.37,30.05%
Emergent One,1/1/2012,,2,7/1/2012,330000,448000,Closed,Seed,118000,1/9/2012,8a375f68143b6c67f054ee15a1694306,http://emergentone.com,<12K,,1,100.00%
Envelop VR,1/1/2014,,2,1/13/2016,5500000,7500000,Closed,Series A,5500000,1/13/2016,890d902e953c278ac9e7461afd5d3f40,http://www.envelopvr.com,<12K,0:01:26,1.54,67.57%
Fetch MD,5/15/2013,7/1/2013,1,6/7/2013,25000,25000,Closed,Seed,25000,6/7/2013,b97c03fdf9113691b61b220642255c9d,http://www.fetchmd.com,<12K,,,
Fiture,1/1/2014,,1,8/1/2015,12500,12500,Closed,Seed,12500,8/1/2015,0891a70bd8a0455a95fe6079e13a6dbf,http://www.fiture.co,<12K,,1,100.00%
Fresh Dish,1/1/2012,1/1/2014,1,11/28/2012,500000,500000,Closed,Seed,500000,11/28/2012,1298376150ac4f9054a80c9d177991db,http://www.freshdish.com,<12K,0:00:03,1.16,84.31%
Friendsignia,1/29/2012,6/1/2013,1,1/29/2012,15000,15000,Closed,Seed,15000,1/29/2012,8d84e281005130e2dff950cff697dc89,http://friendsignia.com,<12K,,,
Gaston Labs,1/1/2012,2/1/2013,1,3/1/2012,100000,100000,Closed,Seed,100000,3/1/2012,4462a20ee16582a7325dde993d5a1987,http://gastonlabs.com,<12K,,,
Gliph,1/1/2012,6/30/2015,5,1/31/2014,25000,608000,Closed,Seed,18000,5/18/2013,2d31b88db6e7a8417ca84e2b08b13f3c,https://gli.ph,<12K,0:01:35,2.05,72.18%
GoGuide,1/1/2012,11/23/2013,1,8/22/2012,250000,250000,Closed,Seed,250000,8/22/2012,08e56dba02371d8a335d219092e83d78,http://gyde.ly,<12K,,,
GradFly,2/1/2013,,2,12/1/2013,181500,191500,Closed,Seed,181500,12/1/2013,3b046e9bbe9d5055cd31bd532f76f8e3,http://www.gradfly.co,<12K,0:01:25,6,
Guide,8/1/2012,2/25/2014,2,7/2/2013,1500000,2500000,Closed,Seed,1000000,2/5/2013,ed44f23115a0cd608739c1c13a7e694d,http://gui.de,<12K,0:00:02,1.13,86.96%
HashTip,3/12/2012,6/1/2013,1,4/1/2012,200000,200000,Closed,Seed,200000,4/1/2012,a8105da771f4dc7f3a075dfeb8961871,http://www.hashtip.com,<12K,,,
Haven,2/26/2014,1/1/2016,1,10/21/2014,1024999,1024999,Closed,Seed,3000000,3/12/2015,ede87d2c49e8281356abc0e67b9f3e87,http://www.joinhaven.com,<12K,,,
HomeHero,5/1/2013,2/24/2017,3,2/1/2016,20000,23020000,Closed,Series A,20000000,6/30/2015,15f9c39dd5e5992c5d5bd722cea254b0,http://www.homehero.org,<12K,0:01:01,1.69,68.62%
Hukkster,4/1/2012,8/1/2014,3,3/12/2014,1500000,4500000,Closed,Seed,1000000,11/14/2012,c1c38f7ea56ae095dd375b14e39773cf,http://www.hukkster.com,<12K,0:00:08,1.73,32.84%
Imzy,9/1/2015,5/24/2017,2,10/26/2016,8000000,11000000,Closed,Series A,8000000,10/26/2016,e340de275952b997c80909d6fae691df,http://www.imzy.com,13.05K,0:00:05,1.27,66.10%
Jut Inc,1/1/2013,1/1/2016,1,11/7/2013,20000000,20000000,Closed,Series B,20000000,11/7/2013,c28bf3484d6fbb78306b37f5cb9ce4cc,http://jut.io,<12K,0:00:16,1.44,66.69%
KANOA,5/1/2015,8/26/2017,1,6/1/2014,150000,150000,Closed,Seed,150000,6/1/2014,1a7e8e90e411bb63fecaafeb987c750d,http://getkanoa.com,675.84K,0:00:40,2.33,33.26%
Kitchensurfing,3/1/2012,4/15/2016,4,3/31/2014,15000000,19500000,Closed,Seed,1000000,2/14/2013,ee696ae0db9a03683675a6450c0d6974,http://www.kitchensurfing.com,<12K,0:00:50,1.29,73.52%
Kyoger,1/1/2014,,1,8/5/2014,20000,20000,Closed,Seed,20000,8/5/2014,68fcebd85d92a0337f7194e2d82a2bdd,http://www.kyogermedia.com/,<12K,,,
Last Guide,1/1/2013,8/1/2015,1,4/10/2014,2100000,2100000,Closed,Seed,2100000,4/10/2014,fccafc13b1e34b9e3c0ad4591b18660d,http://last.co,<12K,,1,100.00%
Lily,9/1/2013,1/1/2017,3,12/17/2015,14000000,15000000,Closed,Series A,14000000,12/17/2015,bf593ace4ea4a3afbe761437bb8b5738,https://www.lily.camera,114.76K,0:00:54,1.77,32.15%
Lingorami,11/1/2012,,1,10/26/2012,40000,40000,Closed,Seed,40000,10/26/2012,c892f6cb61577045e0821b26f75817d8,http://www.lingorami.com,<12K,,,
Livrada,1/1/2012,12/1/2016,2,2/11/2013,1000000,1410816,Closed,Seed,410816,10/23/2012,9bdfcb2ba72e6ea6066f30282a738d80,http://www.livrada.com,<12K,0:00:01,2,
Locish,2/21/2013,,2,3/20/2014,820000,898130,Closed,Seed,60000,3/3/2013,ca068c4a0d1fc2d5ef11c3051ce6a6e5,http://www.locish.com,<12K,,1,100.00%
MAGNIFI,1/1/2013,8/1/2016,1,10/8/2013,9350000,9350000,Closed,Series A,9350000,10/8/2013,4b4411317d6f679cbd181991961c89a3,http://magnifi.fm,<12K,0:00:11,1.86,14.10%
Marvin,1/1/2013,1/1/2014,1,9/1/2013,10000,10000,Closed,Seed,10000,9/1/2013,4d28cdd7460e05f3698fab30135276c4,http://marvincar.com,<12K,,1,100.00%
MedGRC,1/1/2013,,1,1/1/2013,80000,80000,Closed,Seed,80000,1/1/2013,7ed2dbfe226623e63847c56f2a38ff53,https://www.medgrc.com,<12K,,,
"Mind Pirate, Inc.",1/1/2012,12/31/2014,1,7/11/2013,2500000,2500000,Closed,Seed,2500000,7/11/2013,8adb8993920d848f21cd288334de9699,http://mindpirate.com,<12K,,,
Modabound,2/1/2013,,1,7/2/2013,120000,120000,Closed,Seed,120000,7/2/2013,6491158c3cbec305bc0faafd95580a3a,http://www.modabound.com,<12K,,1,100.00%
Monthlys,1/1/2012,,1,3/1/2012,1000000,1000000,Closed,Seed,1000000,3/1/2012,c014a348b33e104caa9fe05769cadc30,http://www.monthlys.com,<12K,,,
Nalace Corporation,1/1/2012,,1,4/19/2012,19000,19000,Closed,Seed,19000,4/19/2012,64999fd1d6b3251e4fd74ecc8811d5b8,http://www.nalace.com,<12K,,,
Nitrous,7/1/2012,11/14/2016,2,3/18/2014,6650000,7650000,Closed,Series A,6650000,3/18/2014,f4c94c311b812aa20628f1c32ba52c88,http://www.nitrous.io,24.88K,0:00:20,1.62,63.58%
NoviMedicine,1/1/2012,1/1/2014,1,6/1/2012,20000,20000,Closed,Seed,20000,6/1/2012,f0236b52bb995886304dadcd0d42c9ac,http://www.novimedicine.com,<12K,,,
Pearl,1/1/2016,6/1/2017,1,6/21/2016,50000000,50000000,Closed,Series A,50000000,6/21/2016,0c0cb5272bc01c7279096132e0093503,http://www.pearlapp.co,<12K,0:00:23,1.24,79.21%
PetSitnStay,10/30/2013,10/30/2015,1,9/5/2013,3000,3000,Closed,Seed,3000,9/5/2013,03a220004ffd68f0e975240a636ba684,http://www.petsitnstay.com,<12K,,,
Pickle,5/1/2014,9/18/2015,3,2/20/2015,100000,135000,Closed,Seed,15000,4/5/2014,afd3c9cfdcffe3508e526e9d8e7f11cb,http://pickle.com,<12K,0:01:37,1.36,75.88%
Picklify,3/1/2012,7/1/2013,1,3/1/2012,13000,13000,Closed,Seed,13000,3/1/2012,e74ce06f15e1a5079182269ea98a4b33,http://picklify.com,<12K,,,
Picvoice,5/20/2012,,1,5/30/2012,5000,5000,Closed,Seed,5000,5/30/2012,0b5d99f32b67f432dc08103c0d3609ef,http://picvoice.com/,<12K,,,
Pintics,1/10/2012,10/31/2012,1,5/18/2012,10000,10000,Closed,Seed,10000,5/18/2012,a07082940403e484a0558061b7546891,http://www.pintics.com,<12K,0:00:20,3.02,
Poliana,1/1/2013,1/1/2015,1,8/7/2013,15000,15000,Closed,Seed,15000,8/7/2013,e27e1dfe336790cefa5dcab45e8dd0ea,http://www.poliana.com,<12K,0:01:51,1.33,67.04%
PollVaultr,1/1/2012,,1,5/30/2012,60000,60000,Closed,Seed,60000,5/30/2012,07fdb45b09bdb3a27967786281f0d715,http://www.pollvaultr.com,<12K,,,
